@RELATION pnts-dense
@ATTRIBUTE root~0~6~0~combined NUMERIC
@ATTRIBUTE gas_tank~1~6~0~combined NUMERIC
@ATTRIBUTE handle~2~6~0~combined NUMERIC
@ATTRIBUTE light~3~6~0~combined NUMERIC
@ATTRIBUTE seat~4~6~0~combined NUMERIC
@ATTRIBUTE whyeel~5~6~0~combined NUMERIC
@ATTRIBUTE other...~6~6~0~combined NUMERIC
@DATA
0.00,0.24,0.18,0.25,0.19,0.14,0.00
0.00,0.15,0.13,0.19,0.16,0.99,0.00
0.00,0.48,0.20,0.28,0.52,0.18,0.00
0.00,0.46,0.12,0.17,0.50,0.11,0.00
0.00,0.42,0.12,0.18,0.50,0.11,0.00
0.00,0.51,0.44,0.64,0.52,0.39,0.00
0.00,0.20,0.18,0.26,0.29,0.28,0.00
0.00,0.30,0.24,0.37,0.29,0.22,0.00
0.00,0.40,0.29,0.43,0.38,0.27,0.00
0.00,0.34,0.23,0.33,0.51,0.21,0.00
0.00,0.15,0.12,0.17,0.82,0.11,0.00
0.00,0.38,0.27,0.40,0.60,0.25,0.00
0.00,0.24,0.20,0.29,0.91,0.19,0.00
0.00,0.29,0.39,0.36,0.29,0.21,0.00
0.00,0.26,0.22,0.31,0.27,0.21,0.00
0.00,0.14,0.12,0.18,0.15,0.86,0.00
0.00,0.43,0.28,0.40,0.34,0.24,0.00
0.00,0.14,0.13,0.18,0.15,0.17,0.23
0.00,0.35,0.32,0.46,0.38,0.71,0.00
0.00,0.12,0.11,0.16,0.13,0.11,0.36
0.00,0.17,0.15,0.23,0.19,0.95,0.00
0.00,0.25,0.23,0.34,0.28,0.91,0.00
0.00,0.18,0.16,0.24,0.20,0.93,0.00
0.00,0.21,0.19,0.28,0.23,0.93,0.00
0.00,0.16,0.15,0.22,0.18,0.98,0.00
0.00,0.55,0.50,0.73,0.68,0.45,0.00
0.00,0.22,0.20,0.29,0.25,0.73,0.00
0.00,0.37,0.14,0.21,0.43,0.13,0.00
0.00,0.22,0.20,0.30,0.25,0.67,0.00
0.00,0.09,0.08,0.12,0.11,0.97,0.00
0.00,0.32,0.24,0.35,0.31,0.23,0.00
0.00,0.10,0.09,0.13,0.14,0.90,0.00
0.00,0.15,0.11,0.16,0.15,0.11,0.32
0.00,0.35,0.32,0.47,0.39,0.83,0.00
0.00,0.34,0.20,0.30,0.26,0.20,0.00
0.00,0.54,0.30,0.44,0.37,0.27,0.00
0.00,0.23,0.17,0.26,0.20,0.15,0.00
0.00,0.21,0.19,0.28,0.23,0.19,0.00
0.00,0.16,0.15,0.21,0.18,0.98,0.00
0.00,0.22,0.20,0.30,0.24,0.37,0.00
0.00,0.16,0.14,0.21,0.18,0.14,0.16
0.00,0.36,0.25,0.36,0.30,0.21,0.00
0.00,0.29,0.25,0.36,0.31,0.24,0.00
0.00,0.14,0.13,0.19,0.17,0.90,0.00
0.00,0.15,0.14,0.20,0.17,0.87,0.00
0.00,0.61,0.48,0.70,0.58,0.43,0.00
0.00,0.27,0.23,0.34,0.32,0.22,0.00
0.00,0.30,0.27,0.39,0.33,0.27,0.00
0.00,0.25,0.23,0.34,0.28,0.25,0.00
0.00,0.11,0.10,0.15,0.12,0.31,0.21
0.00,0.32,0.48,0.40,0.32,0.24,0.00
0.00,0.29,0.19,0.27,0.25,0.17,0.00
0.00,0.18,0.16,0.24,0.19,0.98,0.00
0.00,0.25,0.22,0.32,0.47,0.22,0.00
0.00,0.20,0.18,0.27,0.22,0.71,0.00
0.00,0.42,0.29,0.43,0.37,0.28,0.00
0.00,0.08,0.07,0.10,0.58,0.08,0.10
0.00,0.35,0.32,0.47,0.39,0.40,0.00
0.00,0.31,0.28,0.41,0.34,0.33,0.00
0.00,0.39,0.36,0.52,0.43,0.39,0.00
0.00,0.24,0.22,0.31,0.26,0.90,0.00
0.00,0.18,0.17,0.25,0.20,0.92,0.00
0.00,0.26,0.23,0.34,0.29,0.22,0.00
0.00,0.15,0.13,0.19,0.16,0.13,0.24
0.00,0.41,0.38,0.55,0.45,0.79,0.00
0.00,0.12,0.11,0.16,0.13,0.17,0.30
0.00,0.56,0.50,0.74,0.61,0.46,0.00
0.00,0.37,0.33,0.48,0.43,0.34,0.00
0.00,0.27,0.24,0.35,0.29,0.89,0.00
0.00,0.38,0.34,0.50,0.41,0.32,0.00
0.00,0.47,0.42,0.61,0.52,0.41,0.00
0.00,0.30,0.27,0.39,0.44,0.25,0.00
0.00,0.27,0.17,0.25,0.21,0.16,0.00
0.00,0.19,0.17,0.25,0.21,0.93,0.00
0.00,0.17,0.16,0.23,0.19,0.98,0.00
0.00,0.38,0.33,0.48,0.42,0.31,0.00
0.00,0.27,0.24,0.36,0.31,0.27,0.00
0.00,0.30,0.16,0.24,0.79,0.15,0.00
0.00,0.39,0.11,0.15,0.59,0.10,0.00
0.00,0.14,0.13,0.19,0.16,0.99,0.00
0.00,0.28,0.28,0.33,0.27,0.20,0.00
0.00,0.44,0.35,0.51,0.45,0.32,0.00
0.00,0.15,0.14,0.20,0.17,0.69,0.00
0.00,0.07,0.06,0.09,0.08,1.00,0.00
0.00,0.17,0.15,0.22,0.18,0.97,0.00
0.00,0.58,0.52,0.76,0.63,0.47,0.00
0.00,0.35,0.32,0.47,0.39,0.30,0.00
0.00,0.21,0.18,0.28,0.21,0.16,0.00
0.00,0.19,0.17,0.25,0.21,0.94,0.00
0.00,0.16,0.14,0.20,0.17,0.13,0.20
0.00,0.17,0.16,0.23,0.19,0.96,0.00
0.00,0.52,0.43,0.63,0.53,0.39,0.00
0.00,0.19,0.17,0.25,0.21,0.96,0.00
0.00,0.25,0.23,0.33,0.27,0.92,0.00
0.00,0.17,0.16,0.23,0.19,0.93,0.00
0.00,0.39,0.32,0.47,0.42,0.30,0.00
0.00,0.31,0.28,0.40,0.43,0.25,0.00
0.00,0.24,0.55,0.28,0.23,0.17,0.00
0.00,0.43,0.39,0.57,0.47,0.79,0.00
0.00,0.55,0.17,0.25,0.46,0.16,0.00
0.00,0.52,0.13,0.19,0.46,0.12,0.00
0.00,0.17,0.16,0.23,0.19,0.94,0.00
0.00,0.28,0.23,0.33,0.29,0.21,0.00
0.00,0.19,0.18,0.26,0.21,0.96,0.00
0.00,0.35,0.32,0.47,0.39,0.42,0.00
0.00,0.23,0.19,0.27,0.26,0.18,0.00
0.00,0.47,0.39,0.57,0.63,0.37,0.00
0.00,0.15,0.13,0.19,0.17,0.82,0.00
0.00,0.11,0.10,0.14,0.12,1.00,0.00
0.00,0.30,0.23,0.34,0.35,0.22,0.00
0.00,0.45,0.17,0.22,0.36,0.13,0.00
0.00,0.22,0.19,0.28,0.23,0.19,0.00
0.00,0.38,0.66,0.50,0.41,0.31,0.00
0.00,0.46,0.09,0.13,0.45,0.08,0.00
0.00,0.10,0.08,0.12,0.76,0.09,0.00
0.00,0.18,0.16,0.24,0.20,0.79,0.00
0.00,0.19,0.33,0.22,0.18,0.13,0.00
0.00,0.13,0.12,0.17,0.14,0.97,0.00
0.00,0.18,0.16,0.24,0.20,0.20,0.01
0.00,0.23,0.21,0.31,0.26,0.90,0.00
0.00,0.18,0.17,0.24,0.20,0.18,0.04
0.00,0.38,0.34,0.50,0.47,0.37,0.00
0.00,0.12,0.11,0.16,0.13,0.99,0.00
0.00,0.12,0.11,0.17,0.14,0.93,0.00
0.00,0.44,0.40,0.58,0.48,0.38,0.00
0.00,0.27,0.25,0.36,0.30,0.89,0.00
0.00,0.24,0.21,0.31,0.26,0.20,0.00
0.00,0.09,0.07,0.11,0.09,0.88,0.00
0.00,0.14,0.98,0.19,0.15,0.11,0.00
0.00,0.51,0.73,0.68,0.57,0.42,0.00
0.00,0.22,0.20,0.30,0.24,0.91,0.00
0.00,0.12,0.11,0.16,0.13,0.90,0.00
0.00,0.24,0.21,0.31,0.39,0.20,0.00
0.00,0.13,0.12,0.17,0.14,0.16,0.27
0.00,0.14,0.12,0.18,0.15,0.12,0.29
0.00,0.41,0.38,0.55,0.46,0.38,0.00
0.00,0.33,0.29,0.43,0.36,0.27,0.00
0.00,0.31,0.28,0.40,0.39,0.30,0.00
0.00,0.45,0.41,0.60,0.53,0.37,0.00
0.00,0.10,0.09,0.14,0.11,0.99,0.00
0.00,0.20,0.17,0.25,0.21,0.17,0.00
0.00,0.33,0.30,0.44,0.37,0.45,0.00
0.00,0.21,0.12,0.20,0.15,0.14,0.18
0.00,0.24,0.22,0.32,0.27,0.44,0.00
0.00,0.16,0.15,0.22,0.18,0.98,0.00
0.00,0.36,0.32,0.47,0.39,0.32,0.00
0.00,0.24,0.38,0.30,0.24,0.17,0.00
0.00,0.47,0.43,0.62,0.57,0.39,0.00
0.00,0.37,0.23,0.33,0.29,0.21,0.00
0.00,0.48,0.43,0.63,0.59,0.39,0.00
0.00,0.29,0.21,0.31,0.63,0.19,0.00
0.00,0.25,0.22,0.33,0.27,0.34,0.00
0.00,0.17,0.16,0.23,0.19,0.92,0.00
0.00,0.32,0.27,0.39,0.34,0.25,0.00
0.00,0.32,0.28,0.27,0.24,0.16,0.00
0.00,0.15,0.14,0.20,0.17,0.14,0.20
0.00,0.31,0.28,0.40,0.35,0.26,0.00
0.00,0.16,0.15,0.22,0.18,0.32,0.00
0.00,0.49,0.44,0.64,0.64,0.40,0.00
0.00,0.32,0.28,0.41,0.43,0.27,0.00
0.00,0.46,0.41,0.60,0.63,0.38,0.00
0.00,0.32,0.29,0.42,0.35,0.86,0.00
0.00,0.24,0.36,0.30,0.24,0.17,0.00
0.00,0.23,0.21,0.30,0.25,0.30,0.00
0.00,0.28,0.28,0.34,0.27,0.20,0.00
0.00,0.17,0.15,0.22,0.18,0.15,0.13
0.00,0.36,0.33,0.48,0.40,0.38,0.00
0.00,0.33,0.30,0.44,0.36,0.29,0.00
0.00,0.26,0.24,0.35,0.29,0.25,0.00
0.00,0.17,0.15,0.22,0.19,0.15,0.12
0.00,0.18,0.17,0.24,0.20,0.96,0.00
0.00,0.25,0.09,0.13,0.67,0.09,0.00
0.00,0.40,0.10,0.14,0.46,0.09,0.00
0.00,0.13,0.12,0.17,0.48,0.14,0.00
0.00,0.16,0.14,0.21,0.17,0.92,0.00
0.00,0.14,0.13,0.19,0.16,0.98,0.00
0.00,0.17,0.11,0.16,0.12,0.09,0.35
0.00,0.20,0.18,0.26,0.22,0.17,0.00
0.00,0.14,0.13,0.19,0.16,1.00,0.00
0.00,0.19,0.17,0.25,0.21,0.17,0.00
0.00,0.24,0.21,0.31,0.27,0.86,0.00
0.00,0.21,0.17,0.27,0.20,0.15,0.01
0.00,0.62,0.40,0.59,0.49,0.37,0.00
0.00,0.27,0.24,0.35,0.29,0.45,0.00
0.00,0.21,0.19,0.27,0.23,0.91,0.00
0.00,0.28,0.26,0.37,0.31,0.25,0.00
0.00,0.19,0.17,0.25,0.21,0.89,0.00
0.00,0.42,0.29,0.42,0.76,0.27,0.00
0.00,0.27,0.25,0.37,0.30,0.86,0.00
0.00,0.40,0.36,0.52,0.45,0.35,0.00
0.00,0.17,0.15,0.23,0.19,0.93,0.00
0.00,0.33,0.29,0.43,0.36,0.28,0.00
0.00,0.13,0.11,0.16,0.14,0.11,0.37
0.00,0.33,0.28,0.41,0.33,0.25,0.00
0.00,0.24,1.00,0.32,0.27,0.20,0.00
0.00,0.18,0.16,0.23,0.20,0.71,0.00
0.00,0.29,0.26,0.38,0.32,0.51,0.00
0.00,0.16,0.14,0.21,0.17,0.99,0.00
0.00,0.24,0.22,0.32,0.26,0.48,0.00
0.00,0.42,0.38,0.56,0.46,0.39,0.00
0.00,0.13,0.11,0.17,0.14,0.96,0.00
0.00,0.30,0.30,0.39,0.31,0.23,0.00
0.00,0.18,0.17,0.24,0.20,0.20,0.01
0.00,0.10,0.10,0.14,0.12,1.00,0.00
0.00,0.11,0.10,0.15,0.13,0.54,0.00
0.00,0.19,0.17,0.25,0.21,0.93,0.00
0.00,0.10,0.09,0.14,0.11,1.00,0.00
0.00,0.16,0.15,0.22,0.18,0.98,0.00
0.00,0.15,0.13,0.19,0.16,0.67,0.00
0.00,0.18,0.16,0.24,0.20,0.98,0.00
0.00,0.11,0.10,0.14,0.12,0.78,0.00
0.00,0.14,0.13,0.19,0.16,0.87,0.00
0.00,0.28,0.26,0.37,0.31,0.88,0.00
0.00,0.30,0.25,0.38,0.31,0.24,0.00
0.00,0.47,0.43,0.62,0.51,0.56,0.00
0.00,0.26,0.23,0.34,0.28,0.33,0.00
0.00,0.27,0.24,0.36,0.29,0.89,0.00
0.00,0.61,0.44,0.64,0.57,0.40,0.00
0.00,0.52,0.47,0.69,0.57,0.43,0.00
0.00,0.21,0.19,0.28,0.23,0.90,0.00
0.00,0.18,0.16,0.23,0.20,0.15,0.09
0.00,0.13,0.11,0.17,0.14,0.85,0.00
0.00,0.23,0.18,0.29,0.21,0.18,0.00
0.00,0.27,0.25,0.36,0.30,0.26,0.00
0.00,0.17,0.16,0.23,0.19,0.17,0.08
0.00,0.15,0.14,0.21,0.17,0.81,0.00
0.00,0.15,0.14,0.20,0.17,0.99,0.00
0.00,0.56,0.50,0.74,0.62,0.47,0.00
0.00,0.26,0.23,0.34,0.28,0.91,0.00
0.00,0.46,0.22,0.30,0.42,0.18,0.00
0.00,0.15,0.14,0.20,0.17,0.47,0.00
0.00,0.40,0.36,0.52,0.43,0.33,0.00
0.00,0.25,0.22,0.32,0.34,0.23,0.00
0.00,0.26,0.24,0.35,0.29,0.88,0.00
0.00,0.10,0.10,0.14,0.12,0.26,0.29
0.00,0.17,0.16,0.23,0.19,0.98,0.00
0.00,0.50,0.15,0.22,0.23,0.14,0.00
0.00,0.39,0.34,0.49,0.42,0.33,0.00
0.00,0.15,0.14,0.20,0.17,0.39,0.00
0.00,0.15,0.14,0.20,0.17,0.15,0.20
0.00,0.22,0.19,0.24,0.19,0.14,0.02
0.00,0.44,0.40,0.58,0.48,0.53,0.00
0.00,0.13,0.11,0.16,0.14,0.80,0.00
0.00,0.31,0.27,0.39,0.33,0.25,0.00
0.00,0.20,0.18,0.27,0.22,0.94,0.00
0.00,0.18,0.16,0.24,0.20,0.95,0.00
0.00,0.37,0.28,0.35,0.29,0.21,0.00
0.00,0.14,0.12,0.17,0.82,0.12,0.00
0.00,0.16,0.15,0.21,0.18,0.95,0.00
0.00,0.14,0.11,0.16,0.14,0.11,0.34
0.00,0.33,0.30,0.44,0.36,0.47,0.00
0.00,0.40,0.26,0.38,0.33,0.23,0.00
0.00,0.32,0.28,0.41,0.58,0.26,0.00
0.00,0.59,0.53,0.77,0.64,0.48,0.00
0.00,0.14,0.12,0.18,0.15,0.11,0.30
0.00,0.16,0.15,0.22,0.18,0.33,0.00
0.00,0.32,0.29,0.43,0.36,0.72,0.00
0.00,0.21,0.19,0.28,0.23,0.92,0.00
0.00,0.21,0.20,0.29,0.24,0.94,0.00
0.00,0.16,0.15,0.22,0.18,0.97,0.00
0.00,0.20,0.17,0.27,0.21,0.19,0.00
0.00,0.26,0.20,0.30,0.24,0.18,0.00
0.00,0.30,0.27,0.40,0.33,0.34,0.00
0.00,0.26,0.24,0.35,0.29,0.92,0.00
0.00,0.33,0.21,0.33,0.26,0.19,0.00
0.00,0.18,0.13,0.22,0.15,0.11,0.20
0.00,0.38,0.25,0.41,0.30,0.22,0.00
0.00,0.21,0.20,0.29,0.24,0.94,0.00
0.00,0.21,0.16,0.24,0.21,0.15,0.04
0.00,0.15,0.14,0.20,0.16,0.99,0.00
0.00,0.29,0.26,0.38,0.31,0.35,0.00
0.00,0.17,0.16,0.23,0.19,0.98,0.00
0.00,0.18,0.16,0.24,0.20,0.16,0.06
0.00,0.17,0.15,0.22,0.18,0.26,0.01
0.00,0.44,0.17,0.23,0.50,0.14,0.00
0.00,0.32,0.28,0.42,0.35,0.31,0.00
0.00,0.65,0.56,0.82,0.69,0.51,0.00
0.00,0.26,0.24,0.34,0.29,0.24,0.00
0.00,0.28,0.26,0.38,0.31,0.26,0.00
0.00,0.17,0.15,0.22,0.16,0.12,0.18
0.00,0.43,0.36,0.53,0.46,0.33,0.00
0.00,0.38,0.19,0.28,0.26,0.18,0.00
0.00,0.31,0.28,0.41,0.34,0.26,0.00
0.00,0.31,0.28,0.41,0.37,0.32,0.00
0.00,0.21,0.19,0.27,0.23,0.69,0.00
0.00,0.19,0.17,0.26,0.21,0.96,0.00
0.00,0.18,0.16,0.23,0.19,0.94,0.00
0.00,0.21,0.19,0.27,0.23,0.17,0.00
0.00,0.47,0.20,0.30,0.28,0.19,0.00
0.00,0.15,0.13,0.19,0.16,0.99,0.00
0.00,0.27,0.24,0.36,0.30,0.23,0.00
0.00,0.13,0.11,0.16,0.14,0.11,0.35
0.00,0.15,0.13,0.20,0.16,0.92,0.00
0.00,0.14,0.13,0.19,0.16,0.21,0.17
0.00,0.39,0.24,0.35,0.68,0.23,0.00
0.00,0.25,0.21,0.31,0.69,0.21,0.00
0.00,0.20,0.17,0.26,0.88,0.18,0.00
0.00,0.32,0.27,0.39,0.78,0.27,0.00
0.00,0.26,0.44,0.33,0.26,0.19,0.00
0.00,0.31,0.51,0.39,0.31,0.23,0.00
0.00,0.26,0.23,0.33,0.28,0.21,0.00
0.00,0.22,0.20,0.29,0.24,0.82,0.00
0.00,0.33,0.20,0.29,0.25,0.19,0.00
0.00,0.54,0.43,0.63,0.53,0.39,0.00
0.00,0.25,0.23,0.33,0.28,0.23,0.00
0.00,0.29,0.27,0.39,0.32,0.41,0.00
0.00,0.44,0.34,0.44,0.38,0.26,0.00
0.00,0.08,0.08,0.11,0.09,1.00,0.00
0.00,0.49,0.26,0.37,0.40,0.22,0.00
0.00,0.20,0.17,0.26,0.21,0.16,0.00
0.00,0.14,0.13,0.18,0.15,0.12,0.28
0.00,0.23,0.20,0.30,0.25,0.20,0.00
0.00,0.28,0.26,0.38,0.31,0.45,0.00
0.00,0.08,1.00,0.11,0.09,0.06,0.00
0.00,0.26,0.24,0.35,0.29,0.91,0.00
0.00,0.13,0.12,0.17,0.14,0.97,0.00
0.00,0.16,0.14,0.21,0.20,0.88,0.00
0.00,0.14,1.00,0.19,0.16,0.12,0.00
0.00,0.20,0.18,0.27,0.22,0.31,0.00
0.00,0.16,0.15,0.22,0.18,0.18,0.12
0.00,0.18,0.16,0.24,0.20,0.68,0.00
0.00,0.16,0.14,0.21,0.17,0.90,0.00
0.00,0.25,0.22,0.32,0.27,0.26,0.00
0.00,0.28,0.23,0.33,0.29,0.21,0.00
0.00,0.40,0.35,0.52,0.47,0.33,0.00
0.00,0.14,0.13,0.19,0.16,0.98,0.00
0.00,0.22,0.48,0.27,0.21,0.15,0.00
0.00,0.17,0.96,0.22,0.18,0.13,0.00
0.00,0.22,0.20,0.30,0.24,0.88,0.00
0.00,0.29,0.14,0.20,0.18,0.11,0.09
0.00,0.32,0.20,0.34,0.25,0.18,0.00
0.00,0.31,0.19,0.29,0.23,0.17,0.00
0.00,0.17,0.16,0.23,0.19,0.73,0.00
0.00,0.42,0.38,0.56,0.47,0.35,0.00
0.00,0.43,0.37,0.54,0.53,0.35,0.00
0.00,0.26,0.32,0.31,0.25,0.18,0.00
0.00,0.12,0.10,0.15,0.74,0.11,0.00
0.00,0.16,0.14,0.20,0.71,0.14,0.00
0.00,0.23,0.19,0.28,0.75,0.18,0.00
0.00,0.17,0.14,0.21,0.86,0.14,0.00
0.00,0.24,0.22,0.32,0.26,0.90,0.00
0.00,0.07,1.00,0.10,0.08,0.06,0.00
0.00,0.14,0.12,0.18,0.15,0.12,0.29
0.00,0.26,0.23,0.34,0.28,0.29,0.00
0.00,0.36,0.33,0.48,0.41,0.35,0.00
0.00,0.56,0.34,0.49,0.41,0.30,0.00
0.00,0.31,0.29,0.42,0.35,0.26,0.00
0.00,0.06,0.06,0.08,0.07,1.00,0.00
0.00,0.36,0.20,0.30,0.26,0.20,0.00
0.00,0.39,0.23,0.35,0.31,0.22,0.00
0.00,0.38,0.22,0.33,0.28,0.20,0.00
0.00,0.39,0.29,0.43,0.64,0.27,0.00
0.00,0.31,0.18,0.27,0.32,0.17,0.00
0.00,0.38,0.26,0.37,0.45,0.24,0.00
0.00,0.36,0.15,0.22,0.36,0.15,0.00
0.00,0.40,0.26,0.38,0.42,0.24,0.00
0.00,0.34,0.24,0.35,0.47,0.22,0.00
0.00,0.51,0.25,0.36,0.35,0.23,0.00
0.00,0.57,0.52,0.76,0.63,0.51,0.00
0.00,0.22,0.11,0.17,0.49,0.12,0.00
0.00,0.11,0.09,0.14,0.12,0.79,0.00
0.00,0.24,0.22,0.32,0.26,0.84,0.00
0.00,0.15,0.13,0.20,0.16,0.98,0.00
0.00,0.17,0.15,0.22,0.19,0.14,0.11
0.00,0.25,0.22,0.33,0.27,0.22,0.00
0.00,0.09,0.08,0.12,0.10,1.00,0.00
0.00,0.10,0.09,0.13,1.00,0.09,0.00
0.00,0.12,0.11,0.16,0.13,0.50,0.00
0.00,0.22,0.20,0.29,0.24,0.32,0.00
0.00,0.36,0.26,0.38,0.39,0.24,0.00
0.00,0.21,0.19,0.28,0.23,0.95,0.00
0.00,0.20,0.18,0.26,0.22,0.17,0.00
0.00,0.21,0.19,0.27,0.23,0.17,0.00
0.00,0.16,0.15,0.22,0.18,0.18,0.10
0.00,0.20,0.18,0.27,0.22,0.96,0.00
0.00,0.13,0.12,0.18,0.15,1.00,0.00
0.00,0.51,0.45,0.67,0.55,0.42,0.00
0.00,0.16,0.15,0.22,0.18,0.81,0.00
0.00,0.14,0.13,0.19,0.16,0.99,0.00
0.00,0.44,0.39,0.57,0.50,0.41,0.00
0.00,0.30,0.27,0.40,0.33,0.26,0.00
0.00,0.54,0.48,0.71,0.59,0.44,0.00
0.00,0.35,0.31,0.46,0.37,0.28,0.00
0.00,0.54,0.49,0.71,0.59,0.44,0.00
0.00,0.25,0.22,0.33,0.27,0.52,0.00
0.00,0.43,0.11,0.15,0.63,0.10,0.00
0.00,0.41,0.29,0.42,0.54,0.26,0.00
0.00,0.27,0.17,0.24,0.30,0.15,0.00
0.00,0.15,0.13,0.20,0.17,0.13,0.22
0.00,0.27,0.69,0.35,0.29,0.22,0.00
0.00,0.52,0.46,0.68,0.56,0.42,0.00
0.00,0.22,0.20,0.29,0.24,0.21,0.00
0.00,0.25,0.25,0.29,0.24,0.17,0.00
0.00,0.17,0.16,0.23,0.19,0.80,0.00
0.00,0.21,0.19,0.28,0.23,0.94,0.00
0.00,0.23,0.20,0.30,0.25,0.65,0.00
0.00,0.18,0.16,0.23,0.19,0.91,0.00
0.00,0.17,0.15,0.22,0.19,0.94,0.00
0.00,0.22,0.20,0.29,0.24,0.82,0.00
0.00,0.55,0.49,0.71,0.59,0.44,0.00
0.00,0.30,0.27,0.40,0.33,0.35,0.00
0.00,0.15,0.13,0.20,0.17,0.94,0.00
0.00,0.18,0.17,0.25,0.20,0.96,0.00
0.00,0.22,0.20,0.29,0.24,0.21,0.00
0.00,0.17,0.16,0.23,0.19,0.98,0.00
0.00,0.40,0.37,0.53,0.44,0.36,0.00
0.00,0.21,0.19,0.28,0.23,0.19,0.00
0.00,0.18,0.16,0.24,0.20,0.96,0.00
0.00,0.14,0.12,0.18,0.15,0.11,0.30
0.00,0.12,0.11,0.15,0.14,0.95,0.00
0.00,0.14,0.13,0.19,0.16,0.94,0.00
0.00,0.22,0.20,0.30,0.25,0.30,0.00
0.00,0.25,0.23,0.33,0.27,0.21,0.00
0.00,0.28,0.20,0.30,0.25,0.22,0.00
0.00,0.26,0.24,0.35,0.29,0.91,0.00
0.00,0.14,0.13,0.19,0.15,0.73,0.00
0.00,0.32,0.29,0.42,0.45,0.27,0.00
0.00,0.12,0.11,0.16,0.13,0.11,0.38
0.00,0.21,0.19,0.28,0.23,0.93,0.00
0.00,0.57,0.34,0.50,0.42,0.31,0.00
0.00,0.18,0.16,0.24,0.20,0.96,0.00
0.00,0.22,0.20,0.30,0.25,0.93,0.00
0.00,0.08,0.07,0.10,0.08,1.00,0.00
0.00,0.29,0.22,0.32,0.28,0.21,0.00
0.00,0.43,0.32,0.47,0.42,0.30,0.00
0.00,0.16,0.14,0.21,0.18,0.93,0.00
0.00,0.24,0.21,0.31,0.26,0.20,0.00
0.00,0.32,0.22,0.32,0.44,0.20,0.00
0.00,0.30,0.27,0.40,0.33,0.25,0.00
0.00,0.18,0.17,0.25,0.20,0.95,0.00
0.00,0.13,0.11,0.17,0.14,0.23,0.22
0.00,0.18,0.14,0.21,0.15,0.11,0.21
0.00,0.32,0.24,0.40,0.28,0.20,0.00
0.00,0.14,0.12,0.16,0.12,0.09,0.37
0.00,0.16,0.15,0.21,0.18,0.51,0.00
0.00,0.49,0.32,0.47,0.39,0.29,0.00
0.00,0.23,0.21,0.31,0.26,0.49,0.00
0.00,0.18,0.16,0.23,0.21,0.77,0.00
0.00,0.26,0.20,0.29,0.26,0.19,0.00
0.00,0.29,0.26,0.38,0.31,0.25,0.00
0.00,0.35,0.04,0.06,0.13,0.04,0.37
0.00,0.20,0.19,0.27,0.23,0.23,0.00
0.00,0.19,0.17,0.25,0.21,0.20,0.00
0.00,0.23,0.21,0.30,0.25,0.22,0.00
0.00,0.20,0.18,0.26,0.21,0.17,0.00
0.00,0.34,0.30,0.43,0.37,0.28,0.00
0.00,0.30,0.18,0.27,0.23,0.18,0.00
0.00,0.13,0.12,0.17,0.15,0.11,0.32
0.00,0.19,0.15,0.22,0.21,0.15,0.07
0.00,0.24,0.22,0.32,0.26,0.85,0.00
0.00,0.23,0.21,0.30,0.25,0.82,0.00
0.00,0.21,0.19,0.28,0.23,0.22,0.00
0.00,0.48,0.43,0.63,0.58,0.45,0.00
0.00,0.34,0.29,0.42,0.39,0.27,0.00
0.00,0.11,0.10,0.14,0.12,0.95,0.00
0.00,0.17,0.10,0.16,0.12,0.09,0.35
